winner,loser,white_pieces,black_pieces,moves
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"h2h3, e7e5, b2b3, d7d5, a2a4, f8d6, a4a5, a7a6, d2d4, e5d4, c1d2, g8f6, b1a3, b8c6, h1h2, d6h2, f2f3, h2g3"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"b2b3, e7e5, h2h4, d7d5, d2d3, g8f6, h4h5, h7h6, b1d2, c8g4, d2f3, b8c6, h1h3, e5e4, h3g3, e4f3, e1d2, d5d4, d1e1, f8b4, c2c3, d4c3, d2d1, c3c2, d1c2, b4e1, d3d4, c6b4, c2b2, d8d4, b2b1, d4c3, e2f3, c3c2"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"f2f3, e7e5, d2d3, d7d5, a2a3, g8f6, e1d2, f8c5, g2g3, b8c6, f1g2, c8e6, f3f4, f6g4, g2d5, e6d5, f4e5, d5h1, d2e1, c5g1, e5e6, g1f2, e1d2, d8g5, d2c3, g5b5, e6f7, e8f7, d1f1, c6d4, b1d2, h1g2, e2e4, g2f1, a1b1, d4e2"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"f2f3, e7e5, g1h3, d7d5, a2a3, c8h3, g2g4, d8h4"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"e2e3, g8f6, f1d3, e7e5, a2a3, d7d5, a3a4, b8c6, d3f5, c8f5, c2c4, d5c4, d1h5, f6h5, e1d1, d8h4, d2d3, h4f2, b2b3, f2f1, d1d2, f8b4, b1c3, b4c3, d2c2, f1d3"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"g1f3, g8f6, c2c4, c7c5, f3g5, b8c6, f2f3, e7e6, a2a4, d7d5, b2b3, d8c7, e2e4, c7e5, g2g4, e5g5, e4d5, g5h4, e1e2, e6d5, d1c2, f6g4, d2d3, c6d4, e2d2, h4f2, d2d1, f2c2, d1e1, c2c1"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"g1f3, g8f6, f3h4, e7e5, c2c3, d7d5, b1a3, f8a3, g2g3, a3e7, d1a4, b8c6, h4f5, c8f5, f2f4, e5e4, a4c6, b7c6, e2e3, h7h5, b2b4, d8d7, f1g2, h5h4, c1a3, a8b8, g2h3, f5h3, b4b5, d7g4, c3c4, g4f3, g3h4, h3g4, h4h5, f3e2"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"c2c4, e7e5, d1b3, g8f6, b3d1, c7c6, f2f3, d7d5, d1b3, f8d6, d2d4, e5d4, b3c3, d4c3, c1e3, c3b2, e3d4, d6b4, e1d1, d5c4, h2h3, d8d4, b1d2, d4d2"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"d2d3, d7d5, d3d4, c7c5, c1h6, g8h6, h2h4, e7e6, g2g3, c5d4, f1h3, f8c5, h4h5, b8c6, h3f5, e6f5, e1d2, e8g8, a2a3, h6g4, d1e1, d4d3, d2c3, d8a5, c3b3, a5b5, e1b4, c5b4, e2e4, b5c4, b3a4, b7b5"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"c2c4, e7e5, d1b3, g8f6, h2h3, d7d5, b3c3, b8c6, c3d3, c6d4, e2e4, d5e4, h3h4, e4d3, f1d3, e5e4, d3c2, d4c2, e1e2, d8d3, e2d1, f6g4, g2g3, g4f2"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"c2c3, d7d5, g2g3, e7e5, g1h3, g8f6, f1g2, f8d6, d1a4, c8d7, h3f4, d7a4, h2h3, e5f4, a2a3, f4g3, g2e4, g3f2, e1f1, f6e4, h1g1, f2g1q, f1g1, d8g5, g1f1, g5g3, a1a2, g3f2"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"c2c4, e7e5, b2b3, g8f6, b1a3, b8c6, a3b5, d7d5, d1c2, d5d4, c2d1, a7a6, b5a7, a8a7, e2e4, f6e4, a2a4, f8b4, a1a2, e4c5, a4a5, e8g8, g2g4, e5e4, f1g2, c5d3, e1e2, c8g4, g1f3, c6e5, h1e1, d8h4, e2f1, h4f2"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"d2d4, g8f6, h2h4, d7d5, f2f3, c7c5, h1h2, d8c7, c1g5, c7g3, e1d2, g3h2, d2c3, c5d4, d1d4, b8c6, e2e3, c6d4, f1d3, d4e6, d3e4, d5e4, f3e4, f6e4, c3d3, e6c5, d3c4, b7b5, c4d5, h2d6"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"b1c3, d7d5, c3b5, e7e5, b2b4, a7a6, e2e4, a6b5, h2h4, f8b4, f1b5, c7c6, b5a6, b8a6, h1h2, g8f6, c1a3, b4a3, g1e2, d5e4, e2c3, f6g4, d1g4, c8g4, d2d4, d8d4, c3b1, d4d1"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"b2b4, e7e5, e2e3, f8b4, f2f3, d7d5, e1f2, d5d4, g1e2, d4e3, f2g3, d8g5"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"a2a3, e7e5, g2g3, d7d5, f1g2, g8f6, b1c3, b8c6, d2d3, c8e6, c3b1, d8d7, g2e4, d5e4, f2f4, a8d8, b1d2, f8c5, e1f1, c5b6, d3d4, d7d4, a3a4, d4f2"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"g2g3, e7e5, h2h3, d7d5, f2f4, e5f4, e2e4, d5e4, d1e2, g8f6, g3g4, b8c6, e2f3, e4f3, b1a3, f3f2, e1d1, d8d5, h3h4, c8g4, g1f3, d5f3, f1e2, f3h1"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"g2g3, e7e5, b1c3, d7d5, f1h3, c8h3, c3b1, h3g2, g1h3, g2h3, c2c3, d8d7, d2d4, e5d4, d1d2, b8c6, f2f3, f8e7, d2f4, h7h6, g3g4, e7g5, h1g1, g5f4, c3d4, f4h2, e1f2, d7d6, g1f1, d6g3, f2e3, h3f1, b1a3, g3e1, f3f4, e1e2"
